,children,hotel,lead_time,meal,average_daily_rate
0,children,City_Hotel,2.0,SC,153.0
1,children,Resort_Hotel,7.0,BB,160.89
2,children,City_Hotel,69.0,BB,108.2
3,children,Resort_Hotel,100.0,BB,181.0
4,children,City_Hotel,137.0,BB,114.28
5,children,City_Hotel,162.0,BB,121.5
6,children,City_Hotel,26.0,BB,145.0
7,children,City_Hotel,10.0,BB,155.0
8,children,City_Hotel,246.0,BB,125.1
9,children,City_Hotel,190.0,BB,121.5
10,children,City_Hotel,17.0,BB,141.0
11,children,City_Hotel,46.0,BB,156.6
12,children,Resort_Hotel,0.0,BB,65.0
13,children,City_Hotel,262.0,BB,98.1
14,children,Resort_Hotel,74.0,BB,50.05
15,children,Resort_Hotel,199.0,BB,174.0
16,children,Resort_Hotel,151.0,BB,55.8
17,children,Resort_Hotel,88.0,HB,213.6
18,children,City_Hotel,3.0,BB,246.25
19,children,City_Hotel,79.0,BB,111.6
20,children,City_Hotel,0.0,BB,0.0
21,children,City_Hotel,26.0,BB,157.25
22,children,City_Hotel,25.0,BB,108.8
23,children,City_Hotel,83.0,HB,154.35
24,children,City_Hotel,74.0,BB,112.5
25,children,City_Hotel,199.0,BB,202.5
26,children,Resort_Hotel,10.0,BB,153.0
27,children,City_Hotel,40.0,BB,160.0
28,children,Resort_Hotel,78.0,HB,139.0
29,children,Resort_Hotel,176.0,BB,130.03
30,children,Resort_Hotel,7.0,BB,130.67
31,children,Resort_Hotel,43.0,BB,204.16
32,children,City_Hotel,72.0,BB,85.5
33,children,City_Hotel,3.0,BB,94.35
34,children,City_Hotel,1.0,BB,228.0
35,children,Resort_Hotel,8.0,BB,37.0
36,children,Resort_Hotel,50.0,BB,260.0
37,children,City_Hotel,1.0,BB,108.8
38,children,City_Hotel,217.0,SC,65.11
39,children,City_Hotel,0.0,BB,179.0
40,children,City_Hotel,200.0,BB,82.92
41,children,Resort_Hotel,233.0,BB,133.07
42,children,City_Hotel,96.0,BB,188.16
43,children,Resort_Hotel,25.0,BB,79.0
44,children,Resort_Hotel,203.0,BB,60.0
45,children,City_Hotel,35.0,BB,125.1
46,children,City_Hotel,142.0,BB,164.0
47,children,City_Hotel,1.0,BB,115.0
48,children,Resort_Hotel,2.0,BB,62.25
49,children,Resort_Hotel,224.0,BB,91.1
50,children,City_Hotel,67.0,BB,107.1
51,children,City_Hotel,193.0,BB,106.75
52,children,Resort_Hotel,0.0,HB,73.0
53,children,City_Hotel,141.0,HB,195.25
54,children,City_Hotel,110.0,BB,144.0
55,children,City_Hotel,126.0,HB,198.44
56,children,City_Hotel,62.0,BB,175.0
57,children,Resort_Hotel,40.0,BB,35.15
58,children,City_Hotel,29.0,BB,183.67
59,children,Resort_Hotel,2.0,BB,135.0
60,children,Resort_Hotel,89.0,HB,194.0
61,children,Resort_Hotel,164.0,BB,123.68
62,children,Resort_Hotel,0.0,BB,45.0
63,children,City_Hotel,4.0,BB,158.4
64,children,Resort_Hotel,247.0,BB,139.28
65,children,City_Hotel,1.0,BB,101.0
66,children,City_Hotel,0.0,BB,130.0
67,children,City_Hotel,9.0,BB,278.33
68,children,Resort_Hotel,211.0,BB,94.4
69,children,Resort_Hotel,42.0,HB,218.51
70,children,City_Hotel,70.0,HB,190.78
71,children,City_Hotel,168.0,BB,99.18
72,children,City_Hotel,44.0,BB,96.3
73,children,Resort_Hotel,40.0,BB,164.86
74,children,Resort_Hotel,214.0,HB,182.0
75,children,Resort_Hotel,4.0,BB,93.0
76,children,City_Hotel,115.0,BB,277.5
77,children,City_Hotel,34.0,BB,128.0
78,children,Resort_Hotel,89.0,BB,137.0
79,children,City_Hotel,158.0,BB,148.5
80,children,City_Hotel,59.0,BB,122.1
81,children,Resort_Hotel,176.0,HB,279.0
82,children,City_Hotel,88.0,BB,230.0
83,children,City_Hotel,58.0,BB,186.3
84,children,City_Hotel,54.0,BB,198.9
85,children,Resort_Hotel,264.0,BB,115.0
86,children,City_Hotel,5.0,BB,107.67
87,children,Resort_Hotel,57.0,BB,190.0
88,children,City_Hotel,200.0,BB,179.1
89,children,City_Hotel,178.0,HB,214.0
90,children,City_Hotel,79.0,BB,103.28
91,children,City_Hotel,259.0,BB,80.26
92,children,City_Hotel,3.0,BB,107.0
93,children,City_Hotel,2.0,BB,90.0
94,children,City_Hotel,2.0,BB,123.5
95,children,Resort_Hotel,186.0,BB,178.0
96,children,City_Hotel,58.0,BB,138.6
97,children,Resort_Hotel,214.0,BB,199.2
98,children,Resort_Hotel,3.0,BB,182.0
99,children,Resort_Hotel,3.0,BB,199.0
100,none,Resort_Hotel,5.0,HB,92.71
101,none,City_Hotel,119.0,SC,120.0
102,none,City_Hotel,109.0,BB,90.96
103,none,Resort_Hotel,241.0,BB,93.6
104,none,Resort_Hotel,6.0,HB,172.0
105,none,City_Hotel,106.0,BB,85.0
106,none,City_Hotel,0.0,BB,91.0
107,none,City_Hotel,171.0,BB,80.1
108,none,Resort_Hotel,284.0,HB,68.6
109,none,City_Hotel,1.0,BB,88.0
110,none,City_Hotel,136.0,HB,123.25
111,none,Resort_Hotel,102.0,BB,150.48
112,none,City_Hotel,28.0,BB,0.0
113,none,Resort_Hotel,202.0,BB,151.0
114,none,Resort_Hotel,3.0,HB,271.0
115,none,City_Hotel,83.0,BB,96.9
116,none,City_Hotel,47.0,BB,114.48
117,none,City_Hotel,152.0,BB,99.0
118,none,City_Hotel,59.0,SC,144.0
119,none,Resort_Hotel,46.0,BB,25.0
120,none,City_Hotel,150.0,BB,139.5
121,none,City_Hotel,1.0,SC,66.0
122,none,Resort_Hotel,58.0,BB,110.0
123,none,Resort_Hotel,220.0,BB,70.0
124,none,City_Hotel,71.0,BB,131.18
125,none,City_Hotel,12.0,BB,62.0
126,none,Resort_Hotel,220.0,BB,88.74
127,none,Resort_Hotel,202.0,BB,62.0
128,none,Resort_Hotel,178.0,BB,48.0
129,none,City_Hotel,33.0,SC,125.0
130,none,City_Hotel,173.0,BB,99.0
131,none,Resort_Hotel,0.0,BB,100.0
132,none,City_Hotel,18.0,BB,57.5
133,none,Resort_Hotel,4.0,BB,68.0
134,none,City_Hotel,130.0,SC,54.71
135,none,Resort_Hotel,252.0,BB,53.84
136,none,Resort_Hotel,7.0,BB,72.0
137,none,Resort_Hotel,155.0,BB,36.0
138,none,City_Hotel,273.0,HB,109.0
139,none,City_Hotel,85.0,BB,85.0
140,none,City_Hotel,55.0,BB,75.0
141,none,Resort_Hotel,10.0,BB,43.0
142,none,Resort_Hotel,42.0,HB,133.0
143,none,City_Hotel,17.0,BB,92.31
144,none,City_Hotel,159.0,BB,108.0
145,none,City_Hotel,25.0,BB,168.0
146,none,City_Hotel,37.0,SC,78.5
147,none,Resort_Hotel,0.0,BB,135.0
148,none,City_Hotel,3.0,BB,80.0
149,none,City_Hotel,89.0,BB,63.75
150,none,City_Hotel,124.0,BB,114.3
151,none,Resort_Hotel,9.0,BB,90.0
152,none,Resort_Hotel,51.0,BB,95.0
153,none,City_Hotel,100.0,BB,105.3
154,none,City_Hotel,457.0,HB,122.4
155,none,City_Hotel,22.0,BB,87.0
156,none,City_Hotel,136.0,BB,68.55
157,none,City_Hotel,16.0,BB,184.0
158,none,City_Hotel,2.0,BB,138.67
159,none,City_Hotel,151.0,BB,91.48
160,none,City_Hotel,56.0,SC,100.8
161,none,City_Hotel,186.0,BB,80.0
162,none,Resort_Hotel,25.0,BB,78.0
163,none,City_Hotel,4.0,SC,139.0
164,none,City_Hotel,12.0,SC,85.0
165,none,Resort_Hotel,322.0,HB,90.8
166,none,Resort_Hotel,284.0,BB,41.6
167,none,City_Hotel,41.0,HB,110.0
168,none,City_Hotel,0.0,BB,84.8
169,none,Resort_Hotel,2.0,BB,335.0
170,none,Resort_Hotel,171.0,BB,182.86
171,none,Resort_Hotel,219.0,BB,37.83
172,none,City_Hotel,3.0,BB,65.0
173,none,Resort_Hotel,9.0,HB,96.0
174,none,Resort_Hotel,148.0,BB,59.0
175,none,City_Hotel,96.0,SC,79.2
176,none,Resort_Hotel,141.0,BB,55.8
177,none,Resort_Hotel,342.0,BB,46.36
178,none,City_Hotel,1.0,BB,99.0
179,none,City_Hotel,29.0,BB,67.0
180,none,Resort_Hotel,4.0,BB,22.5
